OBJECTID	NAMOBJ	REMARK	x	y
1844	 	Puskesmas/Puskesmas Pembantu	126.807143592	-3.06880327800002
1845	 	Puskesmas/Puskesmas Pembantu	126.769711095	-3.06216230000001
1846	 	Puskesmas/Puskesmas Pembantu	126.820649542	-3.07400219300001
1847	 	Puskesmas/Puskesmas Pembantu	126.88065467	-3.12270915200003
1848	 	Puskesmas/Puskesmas Pembantu	126.893141647	-3.129994243
1849	 	Puskesmas/Puskesmas Pembantu	127.24903873	-3.49718342
1850	 	Puskesmas/Puskesmas Pembantu	127.251009424	-3.42861578499998
1851	 	Puskesmas/Puskesmas Pembantu	127.181281142	-3.35629043699998
1852	 	Puskesmas/Puskesmas Pembantu	127.113034488	-3.385095245
1853	 	Puskesmas/Puskesmas Pembantu	127.045663119	-3.40281861
1854	 	Puskesmas/Puskesmas Pembantu	127.022477076	-3.277074567
1855	 	Puskesmas/Puskesmas Pembantu	127.02999559	-3.175442922
1856	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	127.984388316	-3.378128801
1857	Puskesmas/Puskesmas Pembantukecamatan Hualmual Belakang	Puskesmas/Puskesmas Pembantu	127.777989094	-3.16877969199999
1858	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.059760024	-3.25690092899998
1859	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.33344112	-3.28397886200003
1860	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.350110434	-3.27039309700001
1861	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.330652059	-3.30912597100001
1862	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.348495568	-3.331392107
1863	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.368298895	-3.34473048799998
1864	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.382766258	-3.38440853100002
1865	Puskesmas/Puskesmas Pembantu Kecamatan Kairatu	Puskesmas/Puskesmas Pembantu	128.31350051	-3.27640254300002
1866	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.074181876	-3.18286504899999
1867	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.067314102	-3.20421604199998
1868	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.065466714	-3.21685136799999
1869	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.066139469	-3.22915430799998
1870	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.141275314	-3.08028715900002
1871	Puskesmas/Puskesmas Pembantu Kecamatan Seram Barat	Puskesmas/Puskesmas Pembantu	128.246604278	-3.09539305999999
